smiles,y_true,y_score
Cc1ccccc1-c1ccc2nc(N)c(CC(C)C(=O)NCCC(C)(C)C)cc2c1,9.1870871,7.6548467
Cc1ccccc1-c1ccc2nc(N)c(CCC(=O)N(C)C3CCCCC3)cc2c1,5.283996599999999,7.480871
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cc(C(C)C)cs2)CCCCC1,6.4534574000000005,6.1505327
CC(C)c1cccc(CNCC(O)C2COC/C=C/C[C@H](c3ccccc3)NC(=O)c3cc(cc(N(C)S(C)(=O)=O)c3)C(=O)N2)c1,8.4948502,7.8060703
CC(=O)NC1CCC(NCC(O)C(Cc2cc(F)cc(F)c2)NC(C)=O)(c2cccc(C(C)(C)C)c2)CC1,6.4559321,7.847291
CN1C(=O)CC(C)(C2CC2c2cccc(-c3cccs3)c2)N=C1N,5.2146702000000005,5.6008415
CCOc1cc(C(=O)NC(Cc2ccccc2)C(O)CNCc2cccc(C(F)(F)F)c2)cc(N(c2ccccc2)S(C)(=O)=O)c1,8.522878599999999,8.1097975
CCn1cc2c3c(cc(C(=O)NC(Cc4ccccc4)[C@H](O)CNCCC(F)(F)F)cc31)N(C)S(=O)(=O)CC2,8.522878599999999,8.034194
CC(NC(=O)c1cc(COCC(C)(N)Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,6.463441400000001,5.2622433
CC(=O)Nc1ccc(CN2CCC3(CC2C)CN(C)S(=O)(=O)N3c2cccc(F)c2)cc1,5.19382,5.287137
CCCOC1CNC(C(O)C(Cc2cc(F)cc(F)c2)NC(=O)C(CCc2ccccc2)N2CCC(NC(C)=O)(C(C)CC)C2=O)C1,8.585026699999998,8.092265
CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2cccc(C#CC3CCCCC3)c2)N=C1N,6.4814858,7.7602167
CC1(c2cc(NC(=O)c3ncc(Cl)cc3Cl)ccc2F)COCC(=N)N1,7.3467875,7.5350184
CC(C)CNC(=O)C(C)C[C@H](O)[C@H](CC(C)C)NC(=O)C(Cc1ccccc1)NC(=O)c1ccccc1,5.1592669,4.993782
CC(=O)NC(Cc1ccc(F)c(C#N)c1)C(O)CNC1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,8.6197891,8.192435
Cc1cnc(C(=O)Nc2cccc(C3(C)N=C(N)CN(C)C3=O)c2)cn1,5.1500282,5.7928896
COc1ccc(Cc2cccc([C@@]3(c4ccccc4)N=C(N)N4CCCN=C43)c2)cc1,5.1487417,5.911748
CC(C)(CO)c1cccc(CNC2CS(=O)(=O)CC(Cc3cc(F)c(N)c(OC(C(F)(F)F)C(F)(F)F)c3)C2O)c1,8.6989698,7.790821
CC(=O)NC(Cc1cc(F)cc(F)c1)C(O)CNC1(c2cccc(C(C)(C)C)c2)CCCN(C(N)=O)C1,6.4814858,6.8832617
